Time, Position, Speed, Acceleration, Torque, Drag, RPM, Power, Available Power, Charge, Voltage, Current, Motor Torque
0.00,0.000,0.000,0.000,558.230,0.000,0.000,0.0,68712.000,50.000,114.520,0.0,153.51
0.00,0.000,0.000,7.870,558.230,0.000,0.000,0.0,68712.000,50.000,114.520,0.0,153.51
0.00,0.000,0.008,7.870,558.230,0.000,1.265,20.3,68712.000,50.000,114.520,0.2,153.51
0.00,0.000,0.016,7.870,558.230,0.000,2.530,40.7,68707.525,50.000,114.513,0.4,153.51
0.00,0.000,0.024,7.870,558.230,0.000,3.795,61.0,68703.049,50.000,114.505,0.5,153.51
0.01,0.000,0.031,7.870,558.230,0.000,5.061,81.4,68698.572,50.000,114.498,0.7,153.51
0.01,0.000,0.039,7.870,558.230,0.000,6.326,101.7,68694.095,50.000,114.490,0.9,153.51
0.01,0.000,0.047,7.870,558.230,0.001,7.591,122.0,68689.617,50.000,114.483,1.1,153.51
0.01,0.000,0.055,7.870,558.230,0.001,8.856,142.4,68685.139,50.000,114.475,1.2,153.51
0.01,0.000,0.063,7.870,558.230,0.001,10.121,162.7,68680.660,50.000,114.468,1.4,153.51
0.01,0.000,0.071,7.870,558.230,0.001,11.386,183.0,68676.180,50.000,114.460,1.6,153.51
0.01,0.000,0.079,7.870,558.230,0.001,12.651,203.4,68671.700,50.000,114.453,1.8,153.51
0.01,0.000,0.087,7.870,558.230,0.002,13.917,223.7,68667.219,50.000,114.445,2.0,153.51
0.01,0.001,0.094,7.870,558.230,0.002,15.182,244.1,68662.738,50.000,114.438,2.1,153.51
0.01,0.001,0.102,7.870,558.230,0.002,16.447,264.4,68658.256,50.000,114.430,2.3,153.51
0.02,0.001,0.110,7.870,558.230,0.003,17.712,284.7,68653.774,50.000,114.423,2.5,153.51
0.02,0.001,0.118,7.870,558.230,0.003,18.977,305.1,68649.291,50.000,114.415,2.7,153.51
0.02,0.001,0.126,7.870,558.230,0.004,20.242,325.4,68644.807,50.000,114.408,2.8,153.51
0.02,0.001,0.134,7.870,558.230,0.004,21.508,345.8,68640.323,50.000,114.401,3.0,153.51
0.02,0.001,0.142,7.870,558.230,0.005,22.773,366.1,68635.838,50.000,114.393,3.2,153.51
0.02,0.001,0.150,7.870,558.230,0.005,24.038,386.4,68631.353,50.000,114.386,3.4,153.51
0.02,0.001,0.157,7.870,558.230,0.006,25.303,406.8,68626.867,50.000,114.378,3.6,153.51
0.02,0.002,0.165,7.870,558.230,0.006,26.568,427.1,68622.380,50.000,114.371,3.7,153.51
0.02,0.002,0.173,7.870,558.230,0.007,27.833,447.4,68617.893,50.000,114.363,3.9,153.51
0.02,0.002,0.181,7.870,558.230,0.008,29.098,467.8,68613.405,50.000,114.356,4.1,153.51
0.03,0.002,0.189,7.870,558.230,0.008,30.364,488.1,68608.917,50.000,114.348,4.3,153.51
0.03,0.002,0.197,7.870,558.230,0.009,31.629,508.5,68604.428,50.000,114.341,4.4,153.51
0.03,0.003,0.205,7.870,558.230,0.010,32.894,528.8,68599.939,50.000,114.333,4.6,153.51
0.03,0.003,0.212,7.870,558.230,0.010,34.159,549.1,68595.449,50.000,114.326,4.8,153.51
0.03,0.003,0.220,7.870,558.230,0.011,35.424,569.5,68590.958,50.000,114.318,5.0,153.51
0.03,0.003,0.228,7.870,558.230,0.012,36.689,589.8,68586.467,50.000,114.311,5.2,153.51
0.03,0.003,0.236,7.870,558.230,0.013,37.954,610.2,68581.975,50.000,114.303,5.3,153.51
0.03,0.004,0.244,7.870,558.230,0.014,39.220,630.5,68577.482,50.000,114.296,5.5,153.51
0.03,0.004,0.252,7.870,558.230,0.015,40.485,650.8,68572.989,50.000,114.288,5.7,153.51
0.03,0.004,0.260,7.870,558.230,0.016,41.750,671.2,68568.496,50.000,114.281,5.9,153.51
0.04,0.004,0.268,7.870,558.230,0.017,43.015,691.5,68564.002,50.000,114.273,6.1,153.51
0.04,0.005,0.275,7.870,558.230,0.018,44.280,711.8,68559.507,50.000,114.266,6.2,153.51
0.04,0.005,0.283,7.870,558.230,0.019,45.545,732.2,68555.012,50.000,114.258,6.4,153.51
0.04,0.005,0.291,7.870,558.230,0.020,46.810,752.5,68550.516,50.000,114.251,6.6,153.51
0.04,0.006,0.299,7.870,558.230,0.021,48.076,772.9,68546.019,50.000,114.243,6.8,153.51
0.04,0.006,0.307,7.870,558.230,0.022,49.341,793.2,68541.522,50.000,114.236,6.9,153.51
0.04,0.006,0.315,7.870,558.230,0.023,50.606,813.5,68537.024,50.000,114.228,7.1,153.51
0.04,0.006,0.323,7.870,558.230,0.024,51.871,833.9,68532.526,50.000,114.221,7.3,153.51
0.04,0.007,0.331,7.870,558.230,0.025,53.136,854.2,68528.027,50.000,114.213,7.5,153.51
0.04,0.007,0.338,7.870,558.230,0.027,54.401,874.5,68523.528,50.000,114.206,7.7,153.51
0.05,0.007,0.346,7.870,558.230,0.028,55.666,894.9,68519.027,50.000,114.198,7.8,153.51
0.05,0.008,0.354,7.870,558.230,0.029,56.931,915.2,68514.527,50.000,114.191,8.0,153.51
0.05,0.008,0.362,7.870,558.230,0.030,58.197,935.6,68510.025,50.000,114.183,8.2,153.51
0.05,0.009,0.370,7.870,558.230,0.032,59.462,955.9,68505.524,50.000,114.176,8.4,153.51
0.05,0.009,0.378,7.870,558.230,0.033,60.727,976.2,68501.021,50.000,114.168,8.6,153.51
0.05,0.009,0.386,7.870,558.230,0.035,61.992,996.6,68496.518,50.000,114.161,8.7,153.51
0.05,0.010,0.393,7.870,558.230,0.036,63.257,1016.9,68492.015,50.000,114.153,8.9,153.51
0.05,0.010,0.401,7.870,558.230,0.037,64.522,1037.3,68487.510,50.000,114.146,9.1,153.51
0.05,0.010,0.409,7.870,558.230,0.039,65.787,1057.6,68483.006,50.000,114.138,9.3,153.51
0.05,0.011,0.417,7.870,558.230,0.040,67.053,1077.9,68478.500,50.000,114.131,9.4,153.51
