current,temperature,rpm,torque,efficiency
900,20,0,0,86.84
900,20,0,10,79.0
900,20,0,20,79.0
900,20,0,30,79.0
900,20,0,40,79.0
900,20,0,50,79.0
900,20,0,60,79.0
900,20,0,70,79.0
900,20,0,80,79.0
900,20,0,90,79.0
900,20,0,100,79.0
900,20,0,110,79.0
900,20,0,120,79.0
900,20,0,130,79.0
900,20,0,140,79.0
900,20,0,150,79.0
900,20,0,160,79.0
900,20,0,170,79.0
900,20,0,180,79.0
900,20,100,0,87.18
900,20,100,10,87.34
900,20,100,20,86.28
900,20,100,30,80.56
900,20,100,40,79.0
900,20,100,50,79.0
900,20,100,60,79.0
900,20,100,70,79.0
900,20,100,80,79.0
900,20,100,90,79.0
900,20,100,100,79.0
900,20,100,110,79.0
900,20,100,120,79.0
900,20,100,130,79.0
900,20,100,140,79.0
900,20,100,150,79.0
900,20,100,160,79.0
900,20,100,170,79.0
900,20,100,180,79.0
900,20,200,0,87.4
900,20,200,10,87.74
900,20,200,20,87.72
900,20,200,30,87.21
900,20,200,40,85.04
900,20,200,50,81.07
900,20,200,60,79.0
900,20,200,70,79.0
900,20,200,80,79.0
900,20,200,90,79.0
900,20,200,100,79.0
900,20,200,110,79.0
900,20,200,120,79.0
900,20,200,130,79.0
900,20,200,140,79.0
900,20,200,150,79.0
900,20,200,160,79.0
900,20,200,170,79.0
900,20,200,180,79.0
900,20,300,0,87.53
900,20,300,10,88.03
900,20,300,20,88.18
900,20,300,30,88.04
900,20,300,40,87.5
900,20,300,50,85.95
900,20,300,60,83.33
900,20,300,70,79.65
900,20,300,80,79.0
900,20,300,90,79.0
900,20,300,100,79.0
900,20,300,110,79.0
900,20,300,120,79.0
900,20,300,130,79.0
900,20,300,140,79.0
900,20,300,150,79.0
900,20,300,160,79.0
900,20,300,170,79.0
900,20,300,180,79.0
900,20,400,0,87.58
900,20,400,10,88.23
900,20,400,20,88.54
900,20,400,30,88.55
900,20,400,40,88.29
900,20,400,50,87.63
900,20,400,60,86.22
900,20,400,70,84.03
900,20,400,80,81.07
900,20,400,90,79.0
900,20,400,100,79.0
900,20,400,110,79.0
900,20,400,120,79.0
900,20,400,130,79.0
900,20,400,140,79.0
900,20,400,150,79.0
900,20,400,160,79.0
900,20,400,170,79.0
900,20,400,180,79.0
900,20,500,0,87.56
900,20,500,10,88.36
900,20,500,20,88.81
900,20,500,30,88.97
900,20,500,40,88.85
900,20,500,50,88.44
900,20,500,60,87.64
900,20,500,70,86.21
900,20,500,80,84.16
900,20,500,90,81.48
900,20,500,100,79.0
900,20,500,110,79.0
900,20,500,120,79.0
900,20,500,130,79.0
900,20,500,140,79.0
900,20,500,150,79.0
900,20,500,160,79.0
900,20,500,170,79.0
900,20,500,180,79.0
900,20,600,0,87.48
900,20,600,10,88.42
900,20,600,20,89.01
900,20,600,30,89.31
900,20,600,40,89.32
900,20,600,50,89.06
900,20,600,60,88.5
900,20,600,70,87.54
900,20,600,80,86.04
900,20,600,90,83.99
900,20,600,100,81.41
900,20,600,110,79.0
900,20,600,120,79.0
900,20,600,130,79.0
900,20,600,140,79.0
900,20,600,150,79.0
900,20,600,160,79.0
900,20,600,170,79.0
900,20,600,180,79.0
900,20,700,0,87.35
900,20,700,10,88.41
900,20,700,20,89.14
900,20,700,30,89.57
900,20,700,40,89.72
900,20,700,50,89.58
900,20,700,60,89.16
900,20,700,70,88.45
900,20,700,80,87.33
900,20,700,90,85.71
900,20,700,100,83.61
900,20,700,110,81.03
900,20,700,120,79.0
900,20,700,130,79.0
900,20,700,140,79.0
900,20,700,150,79.0
900,20,700,160,79.0
900,20,700,170,79.0
900,20,700,180,79.0
900,20,800,0,87.16
900,20,800,10,88.35
900,20,800,20,89.21
900,20,800,30,89.77
900,20,800,40,90.04
900,20,800,50,90.04
900,20,800,60,89.75
900,20,800,70,89.17
900,20,800,80,88.29
900,20,800,90,86.99
900,20,800,100,85.25
900,20,800,110,83.06
900,20,800,120,80.42
900,20,800,130,79.0
900,20,800,140,79.0
900,20,800,150,79.0
900,20,800,160,79.0
900,20,800,170,79.0
900,20,800,180,79.0
900,20,900,0,86.92
900,20,900,10,88.24
900,20,900,20,89.22
900,20,900,30,89.9
900,20,900,40,90.31
900,20,900,50,90.42
900,20,900,60,90.25
900,20,900,70,89.8
900,20,900,80,89.06
900,20,900,90,88.0
900,20,900,100,86.53
900,20,900,110,84.64
900,20,900,120,82.33
900,20,900,130,79.61
900,20,900,140,79.0
900,20,900,150,79.0
900,20,900,160,79.0
900,20,900,170,79.0
900,20,900,180,79.0
900,20,1000,0,86.65
900,20,1000,10,88.08
900,20,1000,20,89.18
900,20,1000,30,89.99
900,20,1000,40,90.51
900,20,1000,50,90.74
900,20,1000,60,90.69
900,20,1000,70,90.36
900,20,1000,80,89.74
900,20,1000,90,88.83
900,20,1000,100,87.59
900,20,1000,110,85.94
900,20,1000,120,83.9
900,20,1000,130,81.46
900,20,1000,140,79.0
900,20,1000,150,79.0
900,20,1000,160,79.0
900,20,1000,170,79.0
900,20,1000,180,79.0
900,20,1100,0,86.34
900,20,1100,10,87.88
900,20,1100,20,89.1
900,20,1100,30,90.02
900,20,1100,40,90.65
900,20,1100,50,91.0
900,20,1100,60,91.07
900,20,1100,70,90.85
900,20,1100,80,90.34
900,20,1100,90,89.56
900,20,1100,100,88.48
900,20,1100,110,87.04
900,20,1100,120,85.21
900,20,1100,130,83.01
900,20,1100,140,80.42
900,20,1100,150,79.0
900,20,1100,160,79.0
900,20,1100,170,79.0
900,20,1100,180,79.0
900,20,1200,0,85.99
900,20,1200,10,87.64
900,20,1200,20,88.97
900,20,1200,30,90.01
900,20,1200,40,90.75
900,20,1200,50,91.21
900,20,1200,60,91.39
900,20,1200,70,91.28
900,20,1200,80,90.89
900,20,1200,90,90.21
900,20,1200,100,89.24
900,20,1200,110,87.98
900,20,1200,120,86.34
900,20,1200,130,84.34
900,20,1200,140,81.96
900,20,1200,150,79.22
900,20,1200,160,79.0
900,20,1200,170,79.0
900,20,1200,180,79.0
900,20,1300,0,85.62
900,20,1300,10,87.37
900,20,1300,20,88.81
900,20,1300,30,89.95
900,20,1300,40,90.81
900,20,1300,50,91.37
900,20,1300,60,91.66
900,20,1300,70,91.65
900,20,1300,80,91.37
900,20,1300,90,90.8
900,20,1300,100,89.94
900,20,1300,110,88.8
900,20,1300,120,87.33
900,20,1300,130,85.5
900,20,1300,140,83.31
900,20,1300,150,80.76
900,20,1300,160,79.0
900,20,1300,170,79.0
900,20,1300,180,79.0
900,20,1400,0,85.22
900,20,1400,10,87.07
900,20,1400,20,88.62
900,20,1400,30,89.86
900,20,1400,40,90.82
900,20,1400,50,91.49
900,20,1400,60,91.88
900,20,1400,70,91.98
900,20,1400,80,91.79
900,20,1400,90,91.32
900,20,1400,100,90.57
900,20,1400,110,89.53
900,20,1400,120,88.2
900,20,1400,130,86.53
900,20,1400,140,84.51
900,20,1400,150,82.13
900,20,1400,160,79.4
900,20,1400,170,79.0
900,20,1400,180,79.0
900,20,1500,0,84.8
900,20,1500,10,86.75
900,20,1500,20,88.4
900,20,1500,30,89.74
900,20,1500,40,90.8
900,20,1500,50,91.57
900,20,1500,60,92.05
900,20,1500,70,92.25
900,20,1500,80,92.17
900,20,1500,90,91.8
900,20,1500,100,91.14
900,20,1500,110,90.2
900,20,1500,120,88.98
900,20,1500,130,87.45
900,20,1500,140,85.57
900,20,1500,150,83.35
900,20,1500,160,80.78
900,20,1500,170,79.0
900,20,1500,180,79.0
900,20,1600,0,84.37
900,20,1600,10,86.41
900,20,1600,20,88.15
900,20,1600,30,89.59
900,20,1600,40,90.74
900,20,1600,50,91.61
900,20,1600,60,92.19
900,20,1600,70,92.48
900,20,1600,80,92.49
900,20,1600,90,92.22
900,20,1600,100,91.66
900,20,1600,110,90.81
900,20,1600,120,89.69
900,20,1600,130,88.27
900,20,1600,140,86.53
900,20,1600,150,84.44
900,20,1600,160,82.02
900,20,1600,170,79.25
900,20,1600,180,79.0
900,20,1700,0,83.92
900,20,1700,10,86.06
900,20,1700,20,87.89
900,20,1700,30,89.42
900,20,1700,40,90.66
900,20,1700,50,91.62
900,20,1700,60,92.29
900,20,1700,70,92.67
900,20,1700,80,92.78
900,20,1700,90,92.59
900,20,1700,100,92.12
900,20,1700,110,91.37
900,20,1700,120,90.33
900,20,1700,130,89.01
900,20,1700,140,87.39
900,20,1700,150,85.43
900,20,1700,160,83.14
900,20,1700,170,80.5
900,20,1700,180,79.0
900,20,1800,0,83.47
900,20,1800,10,85.69
900,20,1800,20,87.61
900,20,1800,30,89.23
900,20,1800,40,90.56
900,20,1800,50,91.6
900,20,1800,60,92.36
900,20,1800,70,92.83
900,20,1800,80,93.02
900,20,1800,90,92.92
900,20,1800,100,92.54
900,20,1800,110,91.87
900,20,1800,120,90.92
900,20,1800,130,89.69
900,20,1800,140,88.17
900,20,1800,150,86.33
900,20,1800,160,84.15
900,20,1800,170,81.64
900,20,1800,180,79.0
900,20,1900,0,83.01
900,20,1900,10,85.31
900,20,1900,20,87.32
900,20,1900,30,89.02
900,20,1900,40,90.43
900,20,1900,50,91.56
900,20,1900,60,92.4
900,20,1900,70,92.95
900,20,1900,80,93.23
900,20,1900,90,93.21
900,20,1900,100,92.91
900,20,1900,110,92.33
900,20,1900,120,91.46
900,20,1900,130,90.31
900,20,1900,140,88.87
900,20,1900,150,87.14
900,20,1900,160,85.07
900,20,1900,170,82.68
900,20,1900,180,79.96
900,20,2000,0,82.55
900,20,2000,10,84.93
900,20,2000,20,87.02
900,20,2000,30,88.8
900,20,2000,40,90.29
900,20,2000,50,91.49
900,20,2000,60,92.41
900,20,2000,70,93.05
900,20,2000,80,93.4
900,20,2000,90,93.46
900,20,2000,100,93.25
900,20,2000,110,92.74
900,20,2000,120,91.95
900,20,2000,130,90.88
900,20,2000,140,89.52
900,20,2000,150,87.87
900,20,2000,160,85.91
900,20,2000,170,83.63
900,20,2000,180,81.01
900,20,2100,0,82.1
900,20,2100,10,84.55
900,20,2100,20,86.71
900,20,2100,30,88.57
900,20,2100,40,90.13
900,20,2100,50,91.41
900,20,2100,60,92.41
900,20,2100,70,93.12
900,20,2100,80,93.54
900,20,2100,90,93.68
900,20,2100,100,93.54
900,20,2100,110,93.11
900,20,2100,120,92.4
900,20,2100,130,91.4
900,20,2100,140,90.11
900,20,2100,150,88.54
900,20,2100,160,86.68
900,20,2100,170,84.49
900,20,2100,180,81.97
900,20,2200,0,81.65
900,20,2200,10,84.18
900,20,2200,20,86.41
900,20,2200,30,88.33
900,20,2200,40,89.97
900,20,2200,50,91.32
900,20,2200,60,92.39
900,20,2200,70,93.17
900,20,2200,80,93.66
900,20,2200,90,93.87
900,20,2200,100,93.8
900,20,2200,110,93.44
900,20,2200,120,92.8
900,20,2200,130,91.87
900,20,2200,140,90.66
900,20,2200,150,89.16
900,20,2200,160,87.37
900,20,2200,170,85.27
900,20,2200,180,82.85
900,20,2300,0,81.22
900,20,2300,10,83.81
900,20,2300,20,86.1
900,20,2300,30,88.1
900,20,2300,40,89.8
900,20,2300,50,91.22
900,20,2300,60,92.35
900,20,2300,70,93.2
900,20,2300,80,93.76
900,20,2300,90,94.04
900,20,2300,100,94.03
900,20,2300,110,93.74
900,20,2300,120,93.16
900,20,2300,130,92.3
900,20,2300,140,91.15
900,20,2300,150,89.72
900,20,2300,160,88.0
900,20,2300,170,85.99
900,20,2300,180,83.65
900,20,2400,0,80.79
900,20,2400,10,83.45
900,20,2400,20,85.8
900,20,2400,30,87.86
900,20,2400,40,89.63
900,20,2400,50,91.11
900,20,2400,60,92.3
900,20,2400,70,93.21
900,20,2400,80,93.84
900,20,2400,90,94.18
900,20,2400,100,94.23
900,20,2400,110,94.0
900,20,2400,120,93.49
900,20,2400,130,92.69
900,20,2400,140,91.6
900,20,2400,150,90.23
900,20,2400,160,88.58
900,20,2400,170,86.63
900,20,2400,180,84.37
900,20,2500,0,80.39
900,20,2500,10,83.1
900,20,2500,20,85.52
900,20,2500,30,87.63
900,20,2500,40,89.46
900,20,2500,50,90.99
900,20,2500,60,92.25
900,20,2500,70,93.21
900,20,2500,80,93.9
900,20,2500,90,94.3
900,20,2500,100,94.41
900,20,2500,110,94.24
900,20,2500,120,93.78
900,20,2500,130,93.04
900,20,2500,140,92.01
900,20,2500,150,90.7
900,20,2500,160,89.1
900,20,2500,170,87.22
900,20,2500,180,85.03
900,20,2600,0,80.01
900,20,2600,10,82.77
900,20,2600,20,85.24
900,20,2600,30,87.41
900,20,2600,40,89.29
900,20,2600,50,90.88
900,20,2600,60,92.19
900,20,2600,70,93.21
900,20,2600,80,93.94
900,20,2600,90,94.39
900,20,2600,100,94.56
900,20,2600,110,94.44
900,20,2600,120,94.04
900,20,2600,130,93.35
900,20,2600,140,92.38
900,20,2600,150,91.12
900,20,2600,160,89.58
900,20,2600,170,87.75
900,20,2600,180,85.63
900,20,2700,0,79.64
900,20,2700,10,82.46
900,20,2700,20,84.98
900,20,2700,30,87.2
900,20,2700,40,89.12
900,20,2700,50,90.76
900,20,2700,60,92.12
900,20,2700,70,93.19
900,20,2700,80,93.98
900,20,2700,90,94.48
900,20,2700,100,94.69
900,20,2700,110,94.63
900,20,2700,120,94.27
900,20,2700,130,93.63
900,20,2700,140,92.71
900,20,2700,150,91.5
900,20,2700,160,90.01
900,20,2700,170,88.23
900,20,2700,180,86.16
900,20,2800,0,79.31
900,20,2800,10,82.17
900,20,2800,20,84.73
900,20,2800,30,87.0
900,20,2800,40,88.97
900,20,2800,50,90.65
900,20,2800,60,92.06
900,20,2800,70,93.17
900,20,2800,80,94.0
900,20,2800,90,94.55
900,20,2800,100,94.81
900,20,2800,110,94.79
900,20,2800,120,94.48
900,20,2800,130,93.88
900,20,2800,140,93.01
900,20,2800,150,91.84
900,20,2800,160,90.4
900,20,2800,170,88.66
900,20,2800,180,86.64
900,20,2900,0,79.0
900,20,2900,10,81.9
900,20,2900,20,84.5
900,20,2900,30,86.81
900,20,2900,40,88.82
900,20,2900,50,90.55
900,20,2900,60,91.99
900,20,2900,70,93.15
900,20,2900,80,94.02
900,20,2900,90,94.61
900,20,2900,100,94.91
900,20,2900,110,94.93
900,20,2900,120,94.66
900,20,2900,130,94.11
900,20,2900,140,93.27
900,20,2900,150,92.15
900,20,2900,160,90.74
900,20,2900,170,89.05
900,20,2900,180,87.07
900,20,3000,0,79.0
900,20,3000,10,81.66
900,20,3000,20,84.3
900,20,3000,30,86.64
900,20,3000,40,88.69
900,20,3000,50,90.45
900,20,3000,60,91.93
900,20,3000,70,93.12
900,20,3000,80,94.03
900,20,3000,90,94.66
900,20,3000,100,94.99
900,20,3000,110,95.05
900,20,3000,120,94.82
900,20,3000,130,94.3
900,20,3000,140,93.5
900,20,3000,150,92.41
900,20,3000,160,91.04
900,20,3000,170,89.38
900,20,3000,180,87.44
900,20,3100,0,79.0
900,20,3100,10,81.45
900,20,3100,20,84.12
900,20,3100,30,86.49
900,20,3100,40,88.57
900,20,3100,50,90.37
900,20,3100,60,91.88
900,20,3100,70,93.1
900,20,3100,80,94.04
900,20,3100,90,94.7
900,20,3100,100,95.07
900,20,3100,110,95.15
900,20,3100,120,94.95
900,20,3100,130,94.47
900,20,3100,140,93.7
900,20,3100,150,92.64
900,20,3100,160,91.3
900,20,3100,170,89.68
900,20,3100,180,87.77
900,20,3200,0,79.0
900,20,3200,10,81.26
900,20,3200,20,83.96
900,20,3200,30,86.36
900,20,3200,40,88.47
900,20,3200,50,90.29
900,20,3200,60,91.83
900,20,3200,70,93.08
900,20,3200,80,94.05
900,20,3200,90,94.73
900,20,3200,100,95.13
900,20,3200,110,95.24
900,20,3200,120,95.07
900,20,3200,130,94.61
900,20,3200,140,93.87
900,20,3200,150,92.84
900,20,3200,160,91.53
900,20,3200,170,89.93
900,20,3200,180,88.05
900,20,3300,0,79.0
900,20,3300,10,81.11
900,20,3300,20,83.83
900,20,3300,30,86.26
900,20,3300,40,88.39
900,20,3300,50,90.23
900,20,3300,60,91.79
900,20,3300,70,93.07
900,20,3300,80,94.06
900,20,3300,90,94.76
900,20,3300,100,95.18
900,20,3300,110,95.32
900,20,3300,120,95.17
900,20,3300,130,94.73
900,20,3300,140,94.01
900,20,3300,150,93.01
900,20,3300,160,91.72
900,20,3300,170,90.14
900,20,3300,180,88.28
900,20,3400,0,79.0
900,20,3400,10,80.99
900,20,3400,20,83.73
900,20,3400,30,86.17
900,20,3400,40,88.32
900,20,3400,50,90.19
900,20,3400,60,91.76
900,20,3400,70,93.06
900,20,3400,80,94.06
900,20,3400,90,94.79
900,20,3400,100,95.22
900,20,3400,110,95.38
900,20,3400,120,95.25
900,20,3400,130,94.83
900,20,3400,140,94.13
900,20,3400,150,93.14
900,20,3400,160,91.87
900,20,3400,170,90.32
900,20,3400,180,88.47
900,20,3500,0,79.0
900,20,3500,10,80.9
900,20,3500,20,83.65
900,20,3500,30,86.11
900,20,3500,40,88.28
900,20,3500,50,90.15
900,20,3500,60,91.74
900,20,3500,70,93.05
900,20,3500,80,94.07
900,20,3500,90,94.81
900,20,3500,100,95.26
900,20,3500,110,95.43
900,20,3500,120,95.31
900,20,3500,130,94.91
900,20,3500,140,94.22
900,20,3500,150,93.25
900,20,3500,160,91.99
900,20,3500,170,90.45
900,20,3500,180,88.62
900,20,3600,0,79.0
900,20,3600,10,80.85
900,20,3600,20,83.61
900,20,3600,30,86.08
900,20,3600,40,88.25
900,20,3600,50,90.14
900,20,3600,60,91.74
900,20,3600,70,93.05
900,20,3600,80,94.08
900,20,3600,90,94.83
900,20,3600,100,95.29
900,20,3600,110,95.47
900,20,3600,120,95.36
900,20,3600,130,94.96
900,20,3600,140,94.29
900,20,3600,150,93.32
900,20,3600,160,92.07
900,20,3600,170,90.54
900,20,3600,180,88.72
900,20,3700,0,79.0
900,20,3700,10,80.83
900,20,3700,20,83.6
900,20,3700,30,86.07
