Current,Charge,Voltage
0.5,0.0,4.15
0.5,0.1,4.09
0.5,0.2,4.06
0.5,0.3,4.03
0.5,0.4,3.98
0.5,0.5,3.94
0.5,0.6,3.90
0.5,0.7,3.87
0.5,0.8,3.84
0.5,0.9,3.80
0.5,1.0,3.76
0.5,1.1,3.72
0.5,1.2,3.69
0.5,1.3,3.66
0.5,1.4,3.63
0.5,1.5,3.61
0.5,1.6,3.58
0.5,1.7,3.56
0.5,1.8,3.54
0.5,1.9,3.52
0.5,2.0,3.50
0.5,2.1,3.46
0.5,2.2,3.41
0.5,2.3,3.35
0.5,2.4,3.31
0.5,2.5,3.25
0.5,2.6,2.99
5.0,0.0,4.05
5.0,0.1,3.94
5.0,0.2,3.90
5.0,0.3,3.86
5.0,0.4,3.82
5.0,0.5,3.77
5.0,0.6,3.73
5.0,0.7,3.69
5.0,0.8,3.66
5.0,0.9,3.62
5.0,1.0,3.58
5.0,1.1,3.54
5.0,1.2,3.50
5.0,1.3,3.47
5.0,1.4,3.44
5.0,1.5,3.41
5.0,1.6,3.38
5.0,1.7,3.35
5.0,1.8,3.32
5.0,1.9,3.28
5.0,2.0,3.25
5.0,2.1,3.20
5.0,2.2,3.14
5.0,2.3,3.05
5.0,2.4,2.86
5.0,2.5,1.0
5.0,2.6,1.0
10.0,0.0,3.97
10.0,0.1,3.81
10.0,0.2,3.77
10.0,0.3,3.73
10.0,0.4,3.68
10.0,0.5,3.64
10.0,0.6,3.61
10.0,0.7,3.57
10.0,0.8,3.53
10.0,0.9,3.50
10.0,1.0,3.46
10.0,1.1,3.42
10.0,1.2,3.39
10.0,1.3,3.35
10.0,1.4,3.32
10.0,1.5,3.29
10.0,1.6,3.26
10.0,1.7,3.24
10.0,1.8,3.21
10.0,1.9,3.18
10.0,2.0,3.14
10.0,2.1,3.11
10.0,2.2,3.05
10.0,2.3,3.00
10.0,2.4,2.91
10.0,2.5,2.80
10.0,2.6,1.0
15.0,0.0,3.83
15.0,0.1,3.69
15.0,0.2,3.64
15.0,0.3,3.60
15.0,0.4,3.56
15.0,0.5,3.52
15.0,0.6,3.49
15.0,0.7,3.45
15.0,0.8,3.41
15.0,0.9,3.38
15.0,1.0,3.34
15.0,1.1,3.31
15.0,1.2,3.28
15.0,1.3,3.25
15.0,1.4,3.22
15.0,1.5,3.19
15.0,1.6,3.16
15.0,1.7,3.14
15.0,1.8,3.11
15.0,1.9,3.08
15.0,2.0,3.05
15.0,2.1,3.01
15.0,2.2,2.97
15.0,2.3,2.91
15.0,2.4,2.83
15.0,2.5,2.70
15.0,2.6,1.0
20.0,0.0,3.70
20.0,0.1,3.59
20.0,0.2,3.54
20.0,0.3,3.50
20.0,0.4,3.46
20.0,0.5,3.43
20.0,0.6,3.40
20.0,0.7,3.36
20.0,0.8,3.33
20.0,0.9,3.30
20.0,1.0,3.27
20.0,1.1,3.25
20.0,1.2,3.22
20.0,1.3,3.20
20.0,1.4,3.17
20.0,1.5,3.14
20.0,1.6,3.12
20.0,1.7,3.10
20.0,1.8,3.08
20.0,1.9,3.05
20.0,2.0,3.02
20.0,2.1,2.99
20.0,2.2,2.96
20.0,2.3,2.92
20.0,2.4,2.86
20.0,2.5,2.74
20.0,2.6,1.0
25.0,0.0,3.70
25.0,0.1,3.49
25.0,0.2,3.43
25.0,0.3,3.38
25.0,0.4,3.34
25.0,0.5,3.30
25.0,0.6,3.26
25.0,0.7,3.22
25.0,0.8,3.19
25.0,0.9,3.17
25.0,1.0,3.15
25.0,1.1,3.13
25.0,1.2,3.11
25.0,1.3,3.10
25.0,1.4,3.08
25.0,1.5,3.06
25.0,1.6,3.04
25.0,1.7,3.01
25.0,1.8,3.00
25.0,1.9,2.97
25.0,2.0,2.95
25.0,2.1,2.92
25.0,2.2,2.88
25.0,2.3,2.80
25.0,2.4,2.55
25.0,2.5,2.20
25.0,2.6,1.0
30.0,0.0,3.56
30.0,0.1,3.40
30.0,0.2,3.34
30.0,0.3,3.28
30.0,0.4,3.23
30.0,0.5,3.18
30.0,0.6,3.14
30.0,0.7,3.11
30.0,0.8,3.09
30.0,0.9,3.07
30.0,1.0,3.05
30.0,1.1,3.04
30.0,1.2,3.04
30.0,1.3,3.02
30.0,1.4,3.01
30.0,1.5,3.01
30.0,1.6,2.99
30.0,1.7,2.98
30.0,1.8,2.96
30.0,1.9,2.94
30.0,2.0,2.92
30.0,2.1,2.88
30.0,2.2,2.86
30.0,2.3,2.80
30.0,2.4,2.70
30.0,2.5,2.40
30.0,2.6,1.0
