ay_g,ax_g,roll_deg,pitch_deg,ground_z_in,worst_order,worst_point,worst_min_z_in,worst_clearance_in,worst_clearance_mm,touches_ground,roll_then_pitch_clearance_in,pitch_then_roll_clearance_in
-2.5,-2.0,-1.284444243246661,-1.4272866583112018,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.6503265420644193,-0.5067265420644183,-12.870854168436223,True,-0.5063451639248919,-0.5067265420644183
-2.5,-1.95,-1.284444243246661,-1.3916044918534218,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.6331484157691825,-0.4895484157691814,-12.434529760537206,True,-0.4891901048060303,-0.4895484157691814
-2.5,-1.9,-1.284444243246661,-1.3559223253956416,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.6159672589962013,-0.47236725899620025,-11.998128378503486,True,-0.47203132130201286,-0.47236725899620025
-2.5,-1.85,-1.284444243246661,-1.3202401589378618,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.598783078409084,-0.4551830784090831,-11.56165019159071,True,-0.4548688200677722,-0.4551830784090831
-2.5,-1.8,-1.284444243246661,-1.2845579924800816,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.581595880672612,-0.43799588067261075,-11.125095369084312,True,-0.43770260775967973,-0.43799588067261075
-2.5,-1.75,-1.284444243246661,-1.2488758260223016,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.564405672452741,-0.4208056724527398,-10.68846408029959,True,-0.42053269103555113,-0.4208056724527398
-2.5,-1.7,-1.284444243246661,-1.2131936595645216,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.5472124604165898,-0.4036124604165887,-10.251756494581352,True,-0.40335907655463554,-0.4036124604165887
-2.5,-1.65,-1.284444243246661,-1.1775114931067414,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.5300162512324404,-0.3864162512324394,-9.81497278130396,True,-0.3861817709776174,-0.3864162512324394
-2.5,-1.6,-1.284444243246661,-1.1418293266489614,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.512817051569747,-0.36921705156974616,-9.378113109871553,True,-0.36900078096661293,-0.36921705156974616
-2.5,-1.55,-1.284444243246661,-1.1061471601911814,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.495614868099112,-0.35201486809911087,-8.941177649717416,True,-0.35181611318516826,-0.35201486809911087
-2.5,-1.5,-1.284444243246661,-1.0704649937334014,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.4784097074923017,-0.33480970749230066,-8.504166570304436,True,-0.3346277742982542,-0.33480970749230066
-2.5,-1.45,-1.284444243246661,-1.0347828272756212,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.4612015764222366,-0.3176015764222355,-8.067080041124782,True,-0.3174357709722644,-0.3176015764222355
-2.5,-1.4,-1.284444243246661,-0.9991006608178412,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.4439904815629876,-0.30039048156298653,-7.6299182316998575,True,-0.30024010987501715,-0.30039048156298653
-2.5,-1.35,-1.284444243246661,-0.9634184943600613,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.4267764295897734,-0.2831764295897723,-7.192681311580216,True,-0.2830407976757465,-0.2831764295897723
-2.5,-1.2999999999999998,-1.284444243246661,-0.9277363279022811,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.4095594271789653,-0.26595942717896426,-6.755369450345691,True,-0.2658378410451059,-0.26595942717896426
-2.5,-1.25,-1.284444243246661,-0.8920541614445011,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.3923394810080736,-0.24873948100807253,-6.317982817605042,True,-0.24863124665515546,-0.24873948100807253
-2.5,-1.2,-1.284444243246661,-0.8563719949867211,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.3751165977557522,-0.23151659775575117,-5.88052158299608,True,-0.23142102117937657,-0.23151659775575117
-2.5,-1.15,-1.284444243246661,-0.820689828528941,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.3578907841017975,-0.21429078410179647,-5.44298591618563,True,-0.21420717129265032,-0.21429078410179647
-2.5,-1.1,-1.284444243246661,-0.785007662071161,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.3406620467271337,-0.19706204672713268,-5.005375986869169,True,-0.1969897036712629,-0.19706204672713268
-2.5,-1.0499999999999998,-1.284444243246661,-0.7493254956133808,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.3234303923138273,-0.17983039231382625,-4.567691964771186,True,-0.1797686249929109,-0.17983039231382625
-2.5,-1.0,-1.284444243246661,-0.7136433291556009,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.3061958275450745,-0.1625958275450734,-4.129934019644864,True,-0.1625439419366872,-0.1625958275450734
-2.5,-0.95,-1.284444243246661,-0.6779611626978208,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.288958359105196,-0.1453583591051948,-3.6921023212719475,True,-0.1453156611830826,-0.1453583591051948
-2.5,-0.8999999999999999,-1.284444243246661,-0.6422789962400408,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.271717993679642,-0.12811799367964083,-3.254197039462877,True,-0.12808378941398235,-0.12811799367964083
-2.5,-0.8499999999999999,-1.284444243246661,-0.6065968297822607,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.2544747379549874,-0.11087473795498637,-2.8162183440566535,True,-0.11084833331266619,-0.11087473795498637
-2.5,-0.7999999999999998,-1.284444243246661,-0.5709146633244806,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.2372285986189264,-0.09362859861892536,-2.3781664049207043,True,-0.09360929956380648,-0.09362859861892536
