Current,Time
24.611364,0.0
32.075455,1.0
83.82,2.0
103.79028,3.0
1.6792728,4.0
47.380276,5.0
156.73936,6.0
181.45502,7.0
178.01755,8.0
266.4711,9.0
314.56467,10.0
337.80002,11.0
123.42737,12.0
18.743092,13.0
41.31073,14.0
23.57373,15.0
71.3661,16.0
147.76573,17.0
38.92582,18.0
21.131275,19.0
15.494909,20.0
40.06673,21.0
118.78701,22.0
115.37664,23.0
147.45909,24.0
223.76947,25.0
148.38336,26.0
78.637184,27.0
23.648548,28.0
43.008003,29.0
58.465275,30.0
91.7551,31.0
77.75927,32.0
24.253273,33.0
37.92873,34.0
42.02046,35.0
48.948368,36.0
88.985916,37.0
89.52327,38.0
99.00618,39.0
67.61691,40.0
23.409546,41.0
59.80364,42.0
79.542,43.0
83.21628,44.0
128.63428,45.0
151.5899,46.0
113.44146,47.0
91.6961,48.0
24.420546,49.0
25.824457,50.0
60.09946,51.0
69.13337,52.0
98.356,53.0
57.09346,54.0
55.792725,55.0
43.36391,56.0
39.913273,57.0
53.080276,58.0
73.36591,59.0
83.82373,60.0
54.693638,61.0
52.09064,62.0
48.891186,63.0
48.31355,64.0
57.849186,65.0
29.795094,66.0
37.14237,67.0
22.748,68.0
34.09791,69.0
30.930456,70.0
