Complexity,Loss,Equation
2,0.14158283,"g = 6.9857764; h = 0.5102515; p1 = [0.29919448]; p2 = [-0.0024157339]; p3 = [0.4125923]; p4 = [0.114938244]; p5 = [3.231683]"
4,0.020187454,"g = 12.910461 - #1; h = 0.41960278; p1 = [0.19131187]; p2 = [-0.31550545]; p3 = [0.2953269]; p4 = [1.2401006]; p5 = [-0.075753495]"
5,0.01674504,"g = log(9.668437 - #1); h = 2.1685836; p1 = [0.2311817]; p2 = [-0.4819484]; p3 = [0.27055913]; p4 = [1.0952356]; p5 = [-0.011553196]"
6,0.016334653,"g = log(log(11.231159 - #1)); h = 5.516899; p1 = [0.5851717]; p2 = [-0.31661797]; p3 = [0.27683184]; p4 = [3.3181517]; p5 = [-0.021765368]"
7,0.015008225,"g = (exp(#1) * 0.001560047) + -1.5977929; h = -2.511395; p1 = [-0.01028225]; p2 = [-0.20589283]; p3 = [0.20313159]; p4 = [1.3348466]; p5 = [0.06440573]"
9,0.011747481,"g = log(9.668437 - #1); h = 2.1685836 + (0.0063233213 * #1); p1 = [0.2311817]; p2 = [-0.4819484]; p3 = [0.27055913]; p4 = [1.0952356]; p5 = [0.01012363]"
12,0.011118251,"g = ((#1 * #1) * 0.02847272) + -2.690646; h = -1.6991075 - (#1 * 0.004837096); p1 = [-0.0062846392]; p2 = [-0.16279292]; p3 = [0.1604949]; p4 = [-0.787699]; p5 = [-0.020646032]"
13,0.009220802,"g = (exp(#1 / 1.8232644) * 0.027975967) + -1.9307917; h = (#1 * -0.007931266) + -2.2841105; p1 = [-0.040756416]; p2 = [-0.18525246]; p3 = [0.10550426]; p4 = [-0.6697017]; p5 = [-0.010399518]"
14,0.008201847,"g = (exp(#1 / 1.7637918) * 0.038912833) + -2.9290135; h = -1.4306883 + (-0.10357848 * exp(#1)); p1 = [-0.041650955]; p2 = [-0.21279228]; p3 = [-0.11671401]; p4 = [-0.90407455]; p5 = [0.0055799587]"
16,0.007718546,"g = (exp(#1 / 1.6343316) * 0.021368526) + -2.2231567; h = (exp(#1 / 2.5276432) * -0.12797768) + -1.8277506; p1 = [-0.040756416]; p2 = [-0.18525246]; p3 = [-0.11458365]; p4 = [-0.6697017]; p5 = [-0.010399518]"
18,0.0076752626,"g = (exp(#1 / 1.6343316) * 0.021368526) + -2.221973; h = (exp((#1 / 1.6343316) * 0.6894196) * -0.12797768) + -1.8277506; p1 = [-0.040756416]; p2 = [-0.18525246]; p3 = [0.10550426]; p4 = [-0.6697017]; p5 = [-0.010399518]"
