Complexity,Loss,Equation
1,0.1415826,"3.5650115"
4,0.04678043,"5.0317802 - log(x1)"
5,0.020174915,"(x1 * -0.41540056) + 5.4004316"
6,0.013971531,"log((x1 * -14.91161) + 103.47175)"
8,0.013313121,"log((x1 * (x1 * -1.5824497)) + 69.60359)"
9,0.010057912,"log(((exp(x4) + -15.226362) * x1) + 102.3669)"
10,0.009091249,"(x0 * 0.011894782) + log((x1 * -15.442862) + 107.0882)"
12,0.005343384,"log((x1 * -15.528032) + 108.428955) + (x4 / (x2 + 28.107822))"
14,0.003161533,"(x4 / (x2 + (21.339392 - x0))) + log((x1 * -15.78025) + 109.661316)"
16,0.0030244035,"(x4 / (x2 + (21.316158 - x0))) + (log((x1 * -15.71102) + 108.384575) - -0.033276055)"
18,0.0029697453,"((x4 / (((x3 - x0) + 22.84757) / 1.2851638)) - -0.033057947) + log((x1 * -15.678972) + 108.401146)"
20,0.0026580312,"((x4 / ((((x2 + 25.207476) * 0.6815766) - x0) + -1.9441698)) + log((x1 * -15.755431) + 108.370316)) + 0.056702785"
21,0.0026149554,"(x4 / ((((x2 + 24.162056) * 0.6815766) - x0) - log(x1))) + (log((x1 * -15.755431) + 108.370316) + 0.056702785)"
23,0.0026113451,"(x4 / (((((x2 + 25.207476) * 0.6815766) - x0) + -0.8020641) - log(x1))) + (log((x1 * -15.755431) + 108.370316) + 0.056702785)"
24,0.0025531421,"(log((x1 * -15.71263) + 108.39293) + (((x4 / 0.75595826) * 1.3551189) / ((x2 - ((x0 + 1.4032606) / 0.40380266)) + 25.639969))) - -0.052671567"
