Complexity,Loss,Equation
1,0.1415826,"3.5649922"
5,0.020174954,"(x1 * -0.4158265) + 5.401702"
6,0.013977423,"log((x1 + -6.931311) * -14.925834)"
8,0.013115806,"log((x1 + -6.355604) * -95.999115) * 0.69748753"
9,0.011385535,"log((x1 + -6.9157047) * (-14.414061 - exp(x4)))"
10,0.009269198,"log(((x4 * -0.13972968) + -14.9506855) * (x1 + -6.980082))"
11,0.0076216357,"log((log(0.28418428 - x0) + -15.134965) * (x1 + -6.9323688))"
13,0.007465354,"log((x1 + -6.980082) * (log((x4 * -1.8015646) + 0.3693332) + -15.188278))"
16,0.005071091,"log(((-15.278458 - ((x2 + x4) * 0.21522282)) + (x3 * 0.17450936)) * (x1 + -6.886979))"
18,0.005066207,"log((((x3 * 0.15619037) - (((x2 + -4.363537) + x4) * 0.20172201)) + -15.7568445) * (x1 + -6.9177847))"
20,0.004830611,"log((x1 + -6.8552194) * (((x3 * 0.17556405) + -15.992225) - ((((x1 + x2) + -6.8552194) + x4) * 0.22224921)))"
21,0.004592707,"log(((x1 + -6.886094) * (((x2 * 0.1518889) + -15.748936) - (((x4 + -4.365079) + x2) * 0.19550365))) + exp(x0))"
23,0.003510716,"log((((0.096697345 * x2) + -15.619484) - ((exp(x4 + 0.89043003) + -1.9077631) + ((x2 + x4) * 0.14370511))) * (x1 + -6.864843))"
25,0.003488224,"log((x1 + -6.864843) * (((x3 + 0.3348677) * 0.096697345) + (-15.619484 - ((exp(x0 - -0.93297875) + -1.9077631) + (0.14370511 * (x2 + x4))))))"
26,0.0034845257,"log((((x2 * 0.096697345) + -15.619484) - ((exp(x4 + 0.89043003) + -1.9077631) + (((exp(x4) + x2) + x4) * 0.14370511))) * (x1 + -6.864843))"
27,0.0033134876,"log((x1 + -6.8515253) * (((x2 * 0.09947497) + -15.76245) - (((((x4 + x2) + -6.8497934) + x1) * 0.14530487) + (exp(x4 + 1.0534714) + -1.7831411))))"
29,0.0033016787,"log((x1 + -6.8515253) * (((x2 * 0.09947497) + -15.74374) - ((((x1 + ((x4 + -6.8497934) + x2)) * 0.14530487) + exp((x4 * 0.90974265) + 1.0243999)) + -1.7831411)))"
