Complexity,Loss,Equation
1,0.1415826,"3.5651019"
4,0.04678116,"5.031143 - log(x1)"
5,0.020179946,"(x1 * -0.41746596) - -5.407585"
6,0.014148784,"log((x1 * -14.363176) + 100.754456)"
8,0.013976877,"log(((x1 * -1.6267196) + 11.274463) / 0.10894275)"
9,0.013743353,"log(exp(x4) + ((x1 * -13.566513) + 95.94948))"
11,0.009203923,"log((exp(x4) + ((x1 * -2.1340098) + 14.426924)) / 0.14835517)"
13,0.009199121,"log(((exp(x4) + 14.432163) + (x1 * -2.140572)) / 0.06682556) - 0.7912578"
15,0.0071718534,"log(((exp(x4) + (12.411925 + (x1 * -1.880818))) / 0.12609364) + (x2 / 17.89822))"
17,0.006629608,"log((((exp(x4) + 12.411925) + (x1 * -1.880818)) / 0.12609364) + ((x2 + x0) / 17.89822))"
18,0.0059555923,"log(((exp(x4) + ((x0 + x2) / exp(x1))) + (12.416725 + (-1.8421992 * x1))) / 0.13347152)"
20,0.0050544622,"log((exp(x4) + (((x4 + (x4 + x3)) / exp(x1)) + (12.480034 + (x1 * -1.8591905)))) / 0.13062614)"
22,0.0050447076,"log((exp(x4) + (((((x0 + -0.38507852) + x4) + x3) / exp(x1)) + (12.480034 + (x1 * -1.8591905)))) / 0.13062614)"
23,0.0049069854,"log(((((x4 + (x2 + x4)) / exp(x1 + exp(x4))) + (x1 * -1.8647327)) + (exp(x4) + 12.472427)) / 0.13161501)"
24,0.0046067215,"log(((((x1 * -1.8556168) + 12.429903) + exp(x0)) / 0.13109726) + ((x1 * (x4 + (x0 + x3))) / exp(x1 + -0.6515075)))"
25,0.0041190893,"log((((x1 * -1.8995988) + (exp(x4) + 12.467603)) / 0.12689108) + (((x2 + (x0 + x4)) / (x1 * exp(exp(x4)))) + -0.028780995))"
