kernel_index,kernel_value
0,0.0014844603552640907
1,-1.057695484087952e-05
2,-6.74607743516547e-05
3,-5.827059182492753e-05
4,-4.6136625702595036e-05
5,-7.770932232240756e-05
6,-6.638473881152195e-05
7,-7.268966690053368e-05
8,-1.0228418682478528e-05
9,-3.292912049520764e-05
10,-5.214067274653915e-05
11,-0.00012322915281646945
12,-6.391331268178453e-05
13,-2.6911248540642447e-05
14,-4.3297710462672385e-05
15,-6.992241468866712e-06
16,7.795040902628619e-06
17,-7.330549251384742e-05
18,-1.289885286694347e-05
19,1.6658717809782387e-05
20,-4.7126237145353745e-05
21,3.833153405207863e-05
22,-9.5666376313865e-06
23,4.74961769759114e-06
24,-4.729558871861454e-05
25,1.1809710194625257e-06
26,1.1741503333352336e-05
27,1.9644952012360783e-05
28,-2.8587398155574234e-05
29,8.49953266642451e-06
30,4.4963578054379874e-07
31,-1.1858721185645937e-05
32,-3.62437502896709e-05
33,-7.346114192365369e-05
34,-2.420730211816169e-05
35,7.76870859058531e-06
36,3.286017542872134e-05
37,3.8865551058929785e-05
38,1.8228965369998585e-06
39,8.563796825377432e-06
40,-2.216769908982347e-06
41,-3.075920803971617e-05
42,5.771063339686332e-06
43,-2.9159267232217926e-06
44,-3.9853952838539675e-06
45,1.5374140209188205e-05
46,4.947085732799674e-06
47,1.0047897308516837e-05
48,-6.6578977855568786e-06
49,-1.4655394909512292e-05
50,-1.0512100529501158e-05
51,1.6101012676408863e-05
52,4.9741085919152935e-06
53,-5.4807534618560095e-06
54,-3.277967295140436e-06
55,-8.079863911461898e-06
56,-7.49979450156716e-06
57,9.275500916721027e-06
58,-8.588851191622962e-07
59,-7.470472481233449e-06
60,-3.0534514741289773e-06
61,1.1093766920675224e-05
62,7.918453849614785e-06
63,1.3781908799214772e-05
64,-6.866300428241019e-06
65,-1.4371366761779155e-05
66,-1.295215334683323e-05
67,1.1417325252172752e-05
68,-4.972614243456051e-06
69,7.053934962996587e-06
70,1.0394347355673842e-05
71,-6.108054005287501e-06
72,3.204022844040574e-05
73,-5.75046960618213e-07
74,-3.532098673594419e-05
75,6.328476869896247e-06
76,-1.2841482111765887e-05
77,5.559079070577282e-06
78,-3.6578695911579035e-05
79,-7.694512986638028e-06
80,-2.0470277012708862e-05
81,-1.8036038968173704e-05
82,-3.945751369426488e-05
83,-1.1697489818180941e-05
84,-5.4104889991599034e-06
85,4.564127629797209e-06
86,2.908454796412329e-05
87,8.455369116734622e-06
88,2.7426817608838402e-05
89,3.0250697545385925e-06
90,5.452046609661578e-06
91,-3.0297414346846056e-06
92,6.218018401543594e-06
93,-1.1736230306117597e-05
94,-1.6008074254482527e-05
95,-2.5152223108739943e-06
96,1.9998892335007267e-07
97,-1.7867785512694175e-06
98,-7.972926611717354e-06
99,-4.070967359165964e-06
100,-1.0739427926994985e-05
101,-4.4035559916945405e-06
102,-8.471798741931495e-06
103,-1.9151283282908009e-07
104,1.4147780876175811e-05
105,1.6255087094815314e-05
106,8.626645482029011e-06
107,6.049177683097863e-06
108,9.142876013365761e-06
109,1.4185225826660274e-05
110,1.3710116658395638e-05
111,8.967152324600357e-07
112,-1.242197659240265e-05
113,-1.1067797162028529e-05
114,-8.263653529101392e-06
115,-5.313015782929982e-06
116,-4.453257743201639e-06
117,-1.0661425507582673e-06
118,-4.7102115874293085e-06
119,3.005341071875131e-06
120,7.755990159883694e-06
121,-9.773047439078442e-06
122,-8.492343091764297e-07
123,7.842231122000297e-06
124,-7.565310337600661e-07
125,9.798650510150252e-07
126,-3.958060159237064e-06
127,-5.601892997913295e-06
128,-3.0870631054907746e-06
129,3.374413073694359e-06
130,-1.509840005442154e-05
131,2.0305219390594278e-06
132,6.45660109799178e-06
133,-4.626572453245097e-07
134,2.9433290445550553e-05
135,3.853528919452845e-07
136,-3.9900936331325465e-06
137,-1.5184341252738045e-05
138,1.0337203514615394e-05
139,6.04577481603207e-06
140,-1.4773397349962403e-05
141,1.688175848666585e-07
142,1.1034933852475908e-05
143,-7.166074103194074e-06
144,-2.842985297717969e-06
145,3.003046311662515e-06
146,-1.0354871025815257e-05
147,-6.874827155960392e-06
148,-6.209371499736375e-06
149,3.3380658698539227e-06
150,2.841061652741377e-06
151,-1.5483002120294215e-06
152,6.52711941543218e-06
153,-7.472686025038666e-06
154,3.3308454709269394e-06
155,7.975112919232906e-06
156,7.985736135355441e-07
157,8.72967014591524e-06
158,1.2378995590203253e-05
159,-7.835700807644474e-06
160,8.15097957776218e-06
161,-2.882904035212983e-06
162,-8.934556501129765e-07
163,2.497755334380487e-05
164,4.682301508198299e-06
165,-2.5673562597007053e-05
166,6.484308908428971e-06
167,-4.388965999764422e-06
168,4.1855885454119146e-08
169,-1.3785630626514847e-05
170,-4.475402984358546e-06
171,-8.96344392800326e-06
172,-3.4278745095426135e-06
173,1.7384514631831417e-05
174,-7.560924481035599e-06
175,-1.010610920483898e-05
176,1.1243982989113915e-06
177,6.914975806640054e-06
178,6.9549290516548815e-06
179,-5.302016556177862e-06
180,-7.848563254308647e-06
181,3.082348545107533e-06
182,8.854491329431227e-06
183,8.356054742629278e-06
184,-4.738341540110048e-06
185,-1.1060423677013744e-05
186,1.2744590840630648e-05
187,1.7262958405515417e-05
188,3.0968735456788486e-06
189,3.970169337767108e-06
190,9.992623074961041e-06
191,3.073795502062925e-05
192,2.724467236186325e-06
193,3.5359753577537305e-06
194,1.1675764298065096e-05
195,6.604193665140586e-05
196,-1.7206599041618555e-07
197,-1.0612911494348374e-05
198,-1.5021160509747938e-05
199,-0.00029121289288013273
